Brand,fueltype,symboling,doornumber,carbody,drivewheel,cylindernumber,enginesize,horsepower,price
alfa-romeo,gas,3,two,convertible,rwd,4,130,111,13495.0
alfa-romeo,gas,3,two,convertible,rwd,4,130,111,16500.0
alfa-romeo,gas,1,two,hatchback,rwd,6,152,154,16500.0
audi,gas,2,four,sedan,fwd,4,109,102,13950.0
audi,gas,2,four,sedan,4wd,5,136,115,17450.0
audi,gas,2,two,sedan,fwd,5,136,110,15250.0
audi,gas,1,four,sedan,fwd,5,136,110,17710.0
audi,gas,1,four,wagon,fwd,5,136,110,18920.0
audi,gas,1,four,sedan,fwd,5,131,140,23875.0
audi,gas,0,two,hatchback,4wd,5,131,160,17859.167
bmw,gas,2,two,sedan,rwd,4,108,101,16430.0
bmw,gas,0,four,sedan,rwd,4,108,101,16925.0
bmw,gas,0,two,sedan,rwd,6,164,121,20970.0
bmw,gas,0,four,sedan,rwd,6,164,121,21105.0
bmw,gas,1,four,sedan,rwd,6,164,121,24565.0
bmw,gas,0,four,sedan,rwd,6,209,182,30760.0
bmw,gas,0,two,sedan,rwd,6,209,182,41315.0
bmw,gas,0,four,sedan,rwd,6,209,182,36880.0
chevrolet,gas,2,two,hatchback,fwd,3,61,48,5151.0
chevrolet,gas,1,two,hatchback,fwd,4,90,70,6295.0
chevrolet,gas,0,four,sedan,fwd,4,90,70,6575.0
dodge,gas,1,two,hatchback,fwd,4,90,68,5572.0
dodge,gas,1,two,hatchback,fwd,4,90,68,6377.0
dodge,gas,1,two,hatchback,fwd,4,98,102,7957.0
dodge,gas,1,four,hatchback,fwd,4,90,68,6229.0
dodge,gas,1,four,sedan,fwd,4,90,68,6692.0
dodge,gas,1,four,sedan,fwd,4,90,68,7609.0
dodge,gas,1,two,sedan,fwd,4,98,102,8558.0
dodge,gas,-1,four,wagon,fwd,4,122,88,8921.0
dodge,gas,3,two,hatchback,fwd,4,156,145,12964.0
honda,gas,2,two,hatchback,fwd,4,92,58,6479.0
honda,gas,2,two,hatchback,fwd,4,92,76,6855.0
honda,gas,1,two,hatchback,fwd,4,79,60,5399.0
honda,gas,1,two,hatchback,fwd,4,92,76,6529.0
honda,gas,1,two,hatchback,fwd,4,92,76,7129.0
honda,gas,0,four,sedan,fwd,4,92,76,7295.0
honda,gas,0,four,wagon,fwd,4,92,76,7295.0
honda,gas,0,two,hatchback,fwd,4,110,86,7895.0
honda,gas,0,two,hatchback,fwd,4,110,86,9095.0
honda,gas,0,four,sedan,fwd,4,110,86,8845.0
honda,gas,0,four,sedan,fwd,4,110,86,10295.0
honda,gas,0,four,sedan,fwd,4,110,101,12945.0
honda,gas,1,two,sedan,fwd,4,110,100,10345.0
isuzu,gas,0,four,sedan,rwd,4,111,78,6785.0
isuzu,gas,1,two,sedan,fwd,4,90,70,8916.5
isuzu,gas,0,four,sedan,fwd,4,90,70,8916.5
isuzu,gas,2,two,hatchback,rwd,4,119,90,11048.0
jaguar,gas,0,four,sedan,rwd,6,258,176,32250.0
jaguar,gas,0,four,sedan,rwd,6,258,176,35550.0
jaguar,gas,0,two,sedan,rwd,12,326,262,36000.0
mazda,gas,1,two,hatchback,fwd,4,91,68,5195.0
mazda,gas,1,two,hatchback,fwd,4,91,68,6095.0
mazda,gas,1,two,hatchback,fwd,4,91,68,6795.0
mazda,gas,1,four,sedan,fwd,4,91,68,6695.0
mazda,gas,1,four,sedan,fwd,4,91,68,7395.0
mazda,gas,3,two,hatchback,rwd,2,70,101,10945.0
mazda,gas,3,two,hatchback,rwd,2,70,101,11845.0
mazda,gas,3,two,hatchback,rwd,2,70,101,13645.0
mazda,gas,3,two,hatchback,rwd,2,80,135,15645.0
mazda,gas,1,two,hatchback,fwd,4,122,84,8845.0
mazda,gas,0,four,sedan,fwd,4,122,84,8495.0
mazda,gas,1,two,hatchback,fwd,4,122,84,10595.0
mazda,gas,0,four,sedan,fwd,4,122,84,10245.0
mazda,diesel,0,four,sedan,fwd,4,122,64,10795.0
mazda,gas,0,four,hatchback,fwd,4,122,84,11245.0
mazda,gas,0,four,sedan,rwd,4,140,120,18280.0
mazda,diesel,0,four,sedan,rwd,4,134,72,18344.0
buick,diesel,-1,four,sedan,rwd,5,183,123,25552.0
buick,diesel,-1,four,wagon,rwd,5,183,123,28248.0
buick,diesel,0,two,hardtop,rwd,5,183,123,28176.0
buick,diesel,-1,four,sedan,rwd,5,183,123,31600.0
buick,gas,-1,four,sedan,rwd,8,234,155,34184.0
